date,time,datetime,region,indicator,importance,prev,forecast,actual,tf_category
2018-06-12 00:00:00,17:00,2018-06-12 17:00:00,中国,5月社会融资规模:当月值(亿元),重要,22242.94,12428.57,11233.62,credit
2018-06-12 00:00:00,17:00,2018-06-12 17:00:00,中国,5月新增人民币贷款(亿元),重要,11800.0,11650.0,11500.0,credit
2018-06-12 00:00:00,17:00,2018-06-12 17:00:00,中国,5月M1:同比(%),重要,7.2,7.0,6.0,credit
2018-06-12 00:00:00,17:00,2018-06-12 17:00:00,中国,5月M0:同比(%),重要,4.5,,3.6,credit
2018-06-12 00:00:00,17:00,2018-06-12 17:00:00,中国,5月M2:同比(%),重要,8.3,8.53,8.3,credit
2018-06-12 00:00:00,17:00,2018-06-12 17:00:00,中国,5月社会融资规模存量:同比(%),重要,12.65,10.5,12.2,credit
2018-06-30 00:00:00,09:00,2018-06-30 09:00:00,中国,6月官方制造业PMI(%),重要,51.9,51.8,51.5,pmi
2018-07-10 00:00:00,09:30,2018-07-10 09:30:00,中国,6月PPI:同比(%),重要,4.1,4.54,4.7,inflation
2018-07-10 00:00:00,09:30,2018-07-10 09:30:00,中国,6月CPI:同比(%),重要,1.8,1.92,1.9,inflation
2018-07-13 00:00:00,16:30,2018-07-13 16:30:00,中国,6月社会融资规模:当月值(亿元),重要,11233.62,14850.0,20372.96,credit
2018-07-13 00:00:00,16:30,2018-07-13 16:30:00,中国,6月新增人民币贷款(亿元),重要,11500.0,15161.54,18400.0,credit
2018-07-13 00:00:00,16:30,2018-07-13 16:30:00,中国,6月M1:同比(%),重要,6.0,5.43,6.6,credit
2018-07-13 00:00:00,16:30,2018-07-13 16:30:00,中国,6月M0:同比(%),重要,3.6,,3.9,credit
2018-07-13 00:00:00,16:30,2018-07-13 16:30:00,中国,6月M2:同比(%),重要,8.3,8.25,8.0,credit
2018-07-13 00:00:00,16:30,2018-07-13 16:30:00,中国,6月社会融资规模存量:同比(%),重要,12.2,10.0,11.76,credit
2018-07-16 00:00:00,10:00,2018-07-16 10:00:00,中国,第二季度GDP:当季同比(%),重要,6.9,6.76,6.9,growth
2018-07-31 00:00:00,09:00,2018-07-31 09:00:00,中国,7月官方制造业PMI(%),重要,51.5,51.4,51.2,pmi
2018-08-09 00:00:00,09:30,2018-08-09 09:30:00,中国,7月PPI:同比(%),重要,4.7,4.41,4.6,inflation
2018-08-09 00:00:00,09:30,2018-08-09 09:30:00,中国,7月CPI:同比(%),重要,1.9,1.91,2.1,inflation
2018-08-13 00:00:00,19:26,2018-08-13 19:26:00,中国,7月社会融资规模:当月值(亿元),重要,20372.96,10830.0,18381.94,credit
2018-08-13 00:00:00,19:26,2018-08-13 19:26:00,中国,7月新增人民币贷款(亿元),重要,18400.0,11937.84,14500.0,credit
2018-08-13 00:00:00,19:26,2018-08-13 19:26:00,中国,7月M1:同比(%),重要,6.6,6.67,5.1,credit
2018-08-13 00:00:00,19:26,2018-08-13 19:26:00,中国,7月M0:同比(%),重要,3.9,,3.6,credit
2018-08-13 00:00:00,19:26,2018-08-13 19:26:00,中国,7月M2:同比(%),重要,8.0,8.21,8.5,credit
2018-08-13 00:00:00,19:26,2018-08-13 19:26:00,中国,7月社会融资规模存量:同比(%),重要,11.76,9.7,11.49,credit
2018-08-31 00:00:00,09:00,2018-08-31 09:00:00,中国,8月官方制造业PMI(%),重要,51.2,51.23,51.3,pmi
2018-09-10 00:00:00,09:30,2018-09-10 09:30:00,中国,8月PPI:同比(%),重要,4.6,3.99,4.1,inflation
2018-09-10 00:00:00,09:30,2018-09-10 09:30:00,中国,8月CPI:同比(%),重要,2.1,2.2,2.3,inflation
2018-09-12 00:00:00,17:00,2018-09-12 17:00:00,中国,8月社会融资规模:当月值(亿元),重要,18381.94,12314.29,24078.25,credit
2018-09-12 00:00:00,17:00,2018-09-12 17:00:00,中国,8月新增人民币贷款(亿元),重要,14500.0,12681.82,12800.0,credit
2018-09-12 00:00:00,17:00,2018-09-12 17:00:00,中国,8月M1:同比(%),重要,5.1,5.25,3.9,credit
2018-09-12 00:00:00,17:00,2018-09-12 17:00:00,中国,8月M0:同比(%),重要,3.6,3.8,3.3,credit
2018-09-12 00:00:00,17:00,2018-09-12 17:00:00,中国,8月M2:同比(%),重要,8.5,8.45,8.2,credit
2018-09-12 00:00:00,17:00,2018-09-12 17:00:00,中国,8月社会融资规模存量:同比(%),重要,11.49,10.4,11.52,credit
2018-09-30 00:00:00,09:00,2018-09-30 09:00:00,中国,9月官方制造业PMI(%),重要,51.3,51.6,50.8,pmi
2018-10-16 00:00:00,09:30,2018-10-16 09:30:00,中国,9月PPI:同比(%),重要,4.1,3.5,3.6,inflation
2018-10-16 00:00:00,09:30,2018-10-16 09:30:00,中国,9月CPI:同比(%),重要,2.3,2.47,2.5,inflation
2018-10-17 00:00:00,16:00,2018-10-17 16:00:00,中国,9月社会融资规模:当月值(亿元),重要,24078.25,15000.0,23061.25,credit
